Language,Year,Title,Genre,Director,Cast
Hindi,2014,Bhoothnath Returns,Fantasy/Children,Nitesh Tiwari,"Amitabh Bachchan, Parth Bhalerao, Boman Irani, Anurag Kashyap, Usha Jadhav[48]"
Hindi,2014,2 States,Romance,Abhishek Varman,"Arjun Kapoor, Alia Bhatt, Amrita Singh[49]"
Hindi,2014,Dekh Tamasha Dekh,Comedy,Feroz Abbas Khan,"Satish Kaushik, Ganesh Yadav[50]"
Hindi,2014,Lucky Kabootar,Romance/Comedy,Shammi Chhabra,"Ravi Kishan, Eijaz Khan, Kulraj Randhawa, Shraddha Das, Sanjai Mishra, Madhavi Sharma[51]"
Hindi,2014,Kaanchi...,Musical/Drama,Subhash Ghai,"Mishti, Kartik Tiwari, Rishi Kapoor, Mithun Chakraborty[52]"
Hindi,2014,Revolver Rani,Drama,Sai Kabir,"Kangana Ranaut, Vir Das, Piyush Mishra, Zakir Hussain[53]"
Hindi,2014,Samrat & Co.,Mystery/Thriller/Drama,Kaushik Ghatak,"Rajeev Khandelwal, Madalasa Sharma[54]"
Hindi,2014,Purani Jeans,Romance/Drama,Tanushri Chattrji Bassu,"Tanuj Virwani, Aditya Seal, Izabelle Leite, Sarika, Rati Agnihotri[55]"
Hindi,2014,Kya Dilli Kya Lahore,Social,Vijay Raaz,"Vijay Raaz, Manu Rishi, Raj Zutshi, Vishwajeet Pradhan[56]"
Hindi,2014,Angry Young Man,Action,Ramesh Rout,"Ajay Sinh Rathod, Prachi Sinha[57]"
Hindi,2014,Kahin Hai Mera Pyar,Romance,Mahesh Vaijnath Doijode,"Abhishek Sethiya, Sonia Mann, Sanjay Kapoor, Jackie Shroff[58]"
Hindi,2014,Hawaa Hawaai,Drama,Amole Gupte,"Partho Gupte, Saqib Saleem, Pragya Yadav[59]"
Hindi,2014,Khwaabb,Romance/Drama,Zaid Ali Khan,"Navdip Singh, Simer Motiani, Nafisa Ali, Bajrang Bali Singh[60]"
Hindi,2014,Koyelaanchal,Action,Ashu Trikha,"Vinod Khanna, Suniel Shetty, Vipino[61]"
Hindi,2014,Manjunath,Drama,Sandeep A. Varma,"Divya Dutta, Seema Biswas, Asif Basra, Yashpal Sharma[62]"
Hindi,2014,Mastram,Adult,Akhilesh Jaiswal,"Rahul Bagga, Tasha Berry[63]"
Hindi,2014,Yeh Hai Bakrapur,Comedy,Janaki Vishwanathan,"Anshuman Jha, Asif Basra, Amit Sial, Uttkarsh Majumdar, Faiz Mohammad, Suruchi Aulakh, Yaushika Verma, Shameem Khan[64]"
Hindi,2014,The Xposé,Thriller,Anant Mahadevan,"Himesh Reshammiya, Zoya Afroz, Sonali Raut, Yo Yo Honey Singh, Adil Hussain[65]"
Hindi,2014,Children of War,Drama,Mrityunjay Devvrat,"Farooque Shaikh, Victor Bannerjee, Pawan Malhotra, Indraneil Sengupta[66]"
Hindi,2014,M3 - Midsummer Midnight Mumbai,Mystery,Braj Bhushan,"Paras Chhabra, Sara Khan, M.A. Guddu, Pooja Thakur[67]"
Hindi,2014,Heropanti,Romance/Action,Sabbir Khan,"Tiger Shroff, Kriti Sanon[68]"
Hindi,2014,Kochadaiiyaan,Action,Soundarya Rajnikanth,"Rajinikanth, Deepika Padukone, Jackie Shroff, Shobana[69]"
Hindi,2014,Citylights,Drama,Hansal Mehta,"Rajkummar Rao, Patralekha[70]"
